user_id,k,l,tau,CTE_A2S_H,CTE_S2A_H,Delta_CTE,p_A2S_H,p_S2A_H,n_samples,n_samples_per_bin_min,low_n
481F4DD2-7689-43B9-A2AA-C8772227162B,3,3,1,0.04656615896053291,0.11957955741148116,-0.07301339845094826,0.001998001998001998,0.01098901098901099,5595,403,False
481F4DD2-7689-43B9-A2AA-C8772227162B,4,4,1,0.05991276513427899,0.129509020615374,-0.06959625548109502,0.001998001998001998,0.24675324675324675,5594,403,False
4E98F91F-4654-42EF-B908-A3389443F2E7,1,1,1,0.007451066217111418,0.05448067331569671,-0.047029607098585294,0.8161838161838162,0.6633366633366633,2436,331,False
4E98F91F-4654-42EF-B908-A3389443F2E7,2,2,1,0.03022296936553679,0.11528898656900258,-0.0850660172034658,0.01098901098901099,0.5854145854145855,2435,331,False
4E98F91F-4654-42EF-B908-A3389443F2E7,3,3,1,0.04544442874370815,0.1057097202119667,-0.06026529146825855,0.006993006993006993,0.6423576423576424,2434,331,False
4E98F91F-4654-42EF-B908-A3389443F2E7,4,4,1,0.053805148543204326,0.0822628432872172,-0.02845769474401287,0.001998001998001998,0.5054945054945055,2433,331,False
4FC32141-E888-4BFF-8804-12559A491D8C,1,1,1,0.00796182034549028,0.045756982260756945,-0.03779516191526666,0.6433566433566433,0.004995004995004995,4580,573,False
4FC32141-E888-4BFF-8804-12559A491D8C,2,2,1,0.03641440927326657,0.09661753176176155,-0.06020312248849498,0.002997002997002997,0.004995004995004995,4579,573,False
4FC32141-E888-4BFF-8804-12559A491D8C,3,3,1,0.062240299577039346,0.13809382050795024,-0.0758535209309109,0.000999000999000999,0.014985014985014986,4578,573,False
4FC32141-E888-4BFF-8804-12559A491D8C,4,4,1,0.07566390476031001,0.14624702775091608,-0.07058312299060607,0.01898101898101898,0.07392607392607392,4577,573,False
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,1,1,1,0.01201253442114609,0.04932574544724834,-0.03731321102610225,0.000999000999000999,0.001998001998001998,5996,543,False
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2,2,1,0.03008990311766769,0.09176417964470966,-0.06167427652704197,0.002997002997002997,0.000999000999000999,5995,543,False
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,3,3,1,0.05709642312810076,0.11054448336269153,-0.05344806023459077,0.000999000999000999,0.000999000999000999,5994,543,False
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,4,4,1,0.07599025183875369,0.10907994434953398,-0.0330896925107803,0.000999000999000999,0.2057942057942058,5993,543,False
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,1,1,1,0.005223334324392154,0.029752416957557315,-0.02452908263316516,0.3886113886113886,0.5664335664335665,6380,613,False
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,2,2,1,0.018935214071923067,0.06692953811222022,-0.047994324040297145,0.000999000999000999,0.4025974025974026,6379,613,False
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,3,3,1,0.028228306159031463,0.1223553220630608,-0.09412701590402933,0.000999000999000999,0.36363636363636365,6378,613,False
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,4,4,1,0.037786092218870214,0.126805456088192,-0.08901936386932177,0.000999000999000999,0.4725274725274725,6377,613,False
59818CD2-24D7-4D32-B133-24C2FE3801E5,1,1,1,0.016879742888250608,0.04779144691015099,-0.030911704021900382,0.061938061938061936,0.5924075924075924,2549,3,False
59818CD2-24D7-4D32-B133-24C2FE3801E5,2,2,1,0.05051227075394852,0.13184188795337487,-0.08132961719942636,0.1048951048951049,0.8511488511488512,2548,3,False
59818CD2-24D7-4D32-B133-24C2FE3801E5,3,3,1,0.07863395721789741,0.16982995204814302,-0.09119599483024561,0.22477522477522477,0.984015984015984,2547,3,False
59818CD2-24D7-4D32-B133-24C2FE3801E5,4,4,1,0.09668641653148655,0.1644214159158992,-0.06773499938441266,0.5514485514485514,0.9820179820179821,2546,3,False
59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2,1,1,1,0.008918288165182512,0.01707480574141365,-0.00815651757623114,0.000999000999000999,0.989010989010989,6685,825,False
59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2,2,2,1,0.022736455362333763,0.05940558810085683,-0.03666913273852307,0.000999000999000999,0.31868131868131866,6684,825,False
59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2,3,3,1,0.03692701593123249,0.07256058357744831,-0.03563356764621582,0.001998001998001998,0.7232767232767233,6683,825,False
59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2,4,4,1,0.04621220750095647,0.0754978181635611,-0.029285610662604634,0.001998001998001998,0.8621378621378621,6682,825,False
5EF64122-B513-46AE-BCF1-E62AAC285D2C,1,1,1,0.00976829972221591,0.04790717371308068,-0.03813887399086477,0.5334665334665335,0.5184815184815185,3335,480,False
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2,2,1,0.03188453462170754,0.09431446476915845,-0.06242993014745091,0.004995004995004995,0.16283716283716285,3334,480,False
5EF64122-B513-46AE-BCF1-E62AAC285D2C,3,3,1,0.04591265190946969,0.09862632979633226,-0.05271367788686257,0.014985014985014986,0.4255744255744256,3333,480,False
5EF64122-B513-46AE-BCF1-E62AAC285D2C,4,4,1,0.06237787527848322,0.0829524176892712,-0.020574542410787974,0.002997002997002997,0.6993006993006993,3332,480,False
61359772-D8D8-480D-B623-7C636EAD0C81,1,1,1,0.008577549838574526,0.0435305766313597,-0.034953026792785176,0.12187812187812187,0.03496503496503497,5476,517,False
61359772-D8D8-480D-B623-7C636EAD0C81,2,2,1,0.020640908050680272,0.07006158320338263,-0.049420675152702355,0.16483516483516483,0.8831168831168831,5475,516,False
